2026-09-05T19:09:04.133973+00:00	8'	Yellowcard	Celtic	Colby Donovan	
2026-09-05T19:13:21.694552+00:00	8'	Yellowcard	Celtic	Colby Donovan	
2026-09-05T19:23:03.086691+00:00	8'	Yellowcard	Celtic	Colby Donovan	
2026-09-05T19:23:03.086691+00:00	22'	Penalty	St. Mirren	Nikolas Agrafiotis	1-0
2026-09-05T19:31:03.153131+00:00	29'	Goal	Celtic	Camilo Durán	1-1
2026-09-05T19:32:02.892457+00:00	29'	VAR	Celtic	Camilo Durán	
2026-09-05T19:38:02.885332+00:00	37'	Yellowcard	St. Mirren	Calvin Ramsay	
2026-09-05T20:14:02.929061+00:00	51'	Goal	Celtic	Liam Scales	1-1
2026-09-05T20:24:32.905212+00:00	62'	Substitution	St. Mirren	Samuel Ramos	
2026-09-05T20:31:03.170402+00:00	68'	Goal	Celtic	Hyun-jun Yang	1-2
2026-09-05T20:31:32.939777+00:00	68'	Substitution	St. Mirren	Eseosa Sule	
2026-09-05T20:32:02.990119+00:00	69'	Substitution	St. Mirren	Luke Thomas	
2026-09-05T20:35:32.886854+00:00	72'	Substitution	Celtic	James Forrest	
2026-09-05T20:35:32.886854+00:00	73'	Substitution	Celtic	Oliver Sørensen	
2026-09-05T20:35:32.886854+00:00	73'	Substitution	Celtic	Sebastian Tounekti	
2026-09-05T20:46:02.928772+00:00	83'	Substitution	Celtic	Shumaira Mheuka	
2026-09-05T20:46:32.902074+00:00	83'	Substitution	St. Mirren	Jake Young	
2026-09-05T20:50:03.064577+00:00	87'	Substitution	Celtic	Dane Murray	
2026-09-05T20:56:02.969995+00:00	90'	Goal	Celtic	Shumaira Mheuka	1-3
2026-09-05T20:58:32.950912+00:00	90'	VAR	Celtic	Shumaira Mheuka	
2026-09-05T20:59:03.151905+00:00	90'	Yellowcard	St. Mirren	Eseosa Sule	
2026-09-09T20:09:00.577215+00:00	53'	Goal	Celtic	Mika Baur	0-1	157843325
2026-09-09T20:11:00.546876+00:00	55'	Yellowcard	St. Johnstone	Josh Campbell		157843348
2026-09-09T20:19:00.588095+00:00	63'	Substitution	St. Johnstone	R. Paton		157843448
2026-09-09T20:19:00.588095+00:00	63'	Substitution	St. Johnstone	Sam Stanton		157843449
2026-09-09T20:23:00.456279+00:00	67'	Substitution	Celtic	Benjamin Nygren		157843501
2026-09-09T20:26:00.882299+00:00	69'	Yellowcard	St. Johnstone	Reece McAlear		157843545
2026-09-09T20:29:30.575335+00:00	73'	Substitution	Celtic	Camilo Durán		157843599
2026-09-09T20:30:00.655947+00:00	73'	Substitution	Celtic	James Forrest		157843604
2026-09-09T20:30:00.655947+00:00	74'	Substitution	St. Johnstone	Danny Schmidt		157843605
2026-09-09T20:30:31.709702+00:00	74'	Substitution	St. Johnstone	Danny Schmidt		157843609
2026-09-09T20:39:00.631089+00:00	82'	Yellowcard	Celtic	Liam Scales		157843720
2026-09-09T20:42:30.650533+00:00	86'	Substitution	Celtic	Shumaira Mheuka		157843752
2026-09-09T20:43:30.829602+00:00	87'	Substitution	St. Johnstone	Macaulay Tait		157843756
2026-09-09T20:43:30.829602+00:00	87'	Substitution	Celtic	Kieran Tierney		157843757
2026-09-09T20:51:00.517430+00:00	90'	Yellowcard	Celtic	Mika Baur		157843849
2026-09-13T11:20:30.314857+00:00	19'	Yellowcard	Celtic	Benjamin Nygren		157892101
2026-09-13T11:24:00.424201+00:00	23'	Goal	Rangers	Dan Neil	1-0	157892172
2026-09-13T11:29:00.316222+00:00	27'	Yellowcard	Celtic	Colby Donovan		157892312
2026-09-13T12:03:30.337024+00:00	46'	Substitution	Celtic	Haissem Hassan		157893113
2026-09-13T12:06:00.352517+00:00	48'	Yellowcard	Rangers	Olwethu Makhanya		157893194
2026-09-13T12:17:30.678456+00:00	59'	Goal	Rangers	Kevin Kelsy 	2-0	157893505
2026-09-13T12:21:30.298107+00:00	63'	Goal	Rangers	None	3-0	157893588
2026-09-13T12:24:31.125081+00:00	64'	Substitution	Celtic	Alex Oxlade-Chamberlain		157893667
2026-09-13T12:24:31.125081+00:00	64'	Substitution	Celtic	James Forrest		157893668
2026-09-13T12:33:00.404397+00:00	74'	Substitution	Rangers	Badredine Bouanani		157893899
2026-09-13T12:33:30.357517+00:00	74'	Substitution	Rangers	Ben Godfrey		157893906
2026-09-13T12:34:00.385752+00:00	75'	Goal	Rangers	Dan Neil	3-0	157893926
2026-09-13T12:36:00.398842+00:00	77'	Substitution	Celtic	Shumaira Mheuka		157894003
2026-09-13T12:37:00.302982+00:00	78'	Yellowcard	Rangers	None		157894023
2026-09-13T12:37:00.302982+00:00	79'	Yellowcard	Celtic	None		157894024
2026-09-13T12:38:30.356255+00:00	80'	Substitution	Celtic	Jordan Lotomba		157894069
2026-09-13T12:44:30.361402+00:00	85'	Substitution	Rangers	Findlay Curtis		157894246
2026-09-13T12:44:30.361402+00:00	86'	Substitution	Rangers	Vanja Dragojevic		157894247
2026-09-13T12:46:00.606589+00:00	87'	Substitution	Rangers	Bojan Miovski		157894286
2026-09-17T19:20:30.531448+00:00	20'	Goal	Ferencvárosi	Bamidele Yusuf	0-1	157940591
